Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
2000-02-01,2000-02-01,8.15,9.08,7.56,7.72,397989506.0,,,,,0.0,0.0,0
2000-03-01,2000-03-01,7.88,8.89,6.49,7.8,748796949.0,,,,,0.0,0.0,0
2000-04-01,2000-04-01,7.8,8.15,6.3,6.41,196081743.0,,,,,0.0,0.0,0
2000-05-01,2000-05-01,6.41,8.17,6.2,7.1,279019285.0,,,,,0.0,0.0,0
2000-06-01,2000-06-01,7.13,7.34,6.14,6.36,124668710.0,,,,,0.0,0.0,0
2000-07-01,2000-07-01,6.44,6.57,5.74,6.38,140705252.0,26.33744855967077,21.862482853223593,,,,0.0,0
2000-08-01,2000-08-01,6.44,7.04,5.88,6.23,123174859.0,20.16460905349795,18.167352537722916,,,,0.0,0
2000-09-01,2000-09-01,6.2,6.39,5.54,5.82,131949896.0,15.555555555555571,20.68587105624143,,,,0.0,0
2000-10-01,2000-10-01,6.04,6.67,4.98,6.29,255078669.0,63.59223300970873,33.10413253958742,,,,0.0,0
2000-11-01,2000-11-01,6.29,7.6,6.14,7.1,275462384.0,80.91603053435115,53.35460636653848,,,,0.0,0
2000-12-01,2000-12-01,7.1,7.94,6.54,6.67,182230374.0,57.094594594594575,67.20095271288481,,,,0.0,0
2001-01-01,2001-01-01,6.67,7.73,6.67,7.23,168941558.0,76.01351351351352,71.34137954748641,,,,0.0,0
2001-02-01,2001-02-01,7.23,7.69,6.92,6.95,192944686.0,45.000000000000014,59.36936936936936,,,,0.0,0
2001-03-01,2001-03-01,6.85,6.95,6.07,6.14,105850649.0,3.743315508021358,41.58560967384495,,,2.0,0.0,2
2001-04-01,2001-04-01,6.14,6.2,4.98,5.05,118941024.0,2.5454545454545237,17.09625668449195,,,2.0,0.0,2
2001-05-01,2001-05-01,5.05,5.39,4.7,5.08,91377160.0,12.709030100334443,6.332600051270094,,,1.0,0.0,1
2001-06-01,2001-06-01,5.08,5.3,4.61,4.8,92438330.0,8.1196581196581,7.7913809218156755,,,2.0,0.0,2
2001-07-01,2001-07-01,4.73,4.8,3.18,3.64,9613831467.0,15.231788079470197,12.020158766487567,,,,0.0,0
2001-08-01,2001-08-01,3.68,5.61,3.52,5.36,37690151823.0,89.7119341563786,37.687793451835624,,,,0.0,0
2001-09-01,2001-09-01,5.33,5.33,3.24,3.24,193220530.0,2.469135802469138,35.804286012772636,,,2.0,0.0,2
2001-10-01,2001-10-01,3.35,3.79,2.85,3.32,19095346864.0,17.028985507246365,36.40335182203136,,,,0.0,0
2001-11-01,2001-11-01,3.45,4.37,3.42,4.09,60498786888.0,44.92753623188405,21.475219180533173,,,,0.0,0
2001-12-01,2001-12-01,4.19,4.98,3.94,4.22,439211586.0,55.241935483870954,39.06615240766711,,,,0.0,0
2002-01-01,2002-01-01,4.22,4.79,4.16,4.64,406413708.0,84.03755868544597,61.40234346706698,,,,0.0,0
2002-02-01,2002-02-01,5.16,5.97,4.99,5.93,436853408.0,98.4313725490196,79.23695557277883,,,,0.0,0
2002-03-01,2002-03-01,5.9,6.33,5.4,5.53,331878322.0,66.52719665271968,82.9987092957284,,,,0.0,0
2002-04-01,2002-04-01,5.43,6.23,4.73,5.53,366684725.0,63.133640552995395,76.03073658491154,,,,0.0,0
2002-05-01,2002-05-01,5.53,6.47,5.3,5.97,615806355.0,71.26436781609195,66.97506834060233,,,,0.0,0
2002-06-01,2002-06-01,5.9,6.2,5.43,5.46,199243287.0,41.95402298850574,58.784010452531014,,,,0.0,0
2002-07-01,2002-07-01,5.46,5.72,4.66,5.69,167304552.0,56.906077348066326,56.70815605088799,,,,0.0,0
2002-08-01,2002-08-01,5.76,5.76,4.74,4.97,107265868.0,17.127071823204403,38.662390719925476,,,,0.0,0
2002-09-01,2002-09-01,4.9,4.92,3.64,3.81,18973887359.0,6.640624999999997,26.89125805709023,,,2.0,0.0,2
2002-10-01,2002-10-01,3.68,5.21,3.42,5.21,8871080692.0,76.4957264957265,33.421141106310294,,,,0.0,0
2002-11-01,2002-11-01,5.21,5.79,4.92,5.36,420210024.0,81.8565400843882,54.99763052670489,,,,0.0,0
2002-12-01,2002-12-01,5.36,8.27,5.21,7.87,837347898.0,91.75257731958764,83.36828129990077,,,,0.0,0
2003-01-01,2003-01-01,7.87,10.46,7.8,9.14,964947981.0,81.25,84.9530391346586,,,,0.0,0
2003-02-01,2003-02-01,9.14,9.69,7.65,8.6,1002467955.0,66.42599277978337,79.80952336645699,,,,0.0,0
2003-03-01,2003-03-01,8.71,9.87,7.29,8.89,1030640065.0,70.09523809523809,72.59041029167379,,,,0.0,0
2003-04-01,2003-04-01,8.63,10.13,7.47,7.76,820196758.0,14.826498422712923,50.44924309924477,,,1.0,0.0,1
2003-05-01,2003-05-01,7.76,9.69,7.25,9.51,600393056.0,78.4722222222222,54.46465291339104,,,,0.0,0
