,close,trend,trend-ah,trend-nh,trend-nl,trend-al
121,106.57,106.78,123.76,115.27,98.29,89.8
122,106.57,106.8,123.78,115.29,98.31,89.82
123,105.61,106.82,123.8,115.31,98.33,89.84
124,106.57,106.84,123.82,115.33,98.35,89.86
125,109.46,106.86,123.84,115.35,98.37,89.88
126,108.98,106.88,123.86,115.37,98.39,89.9
127,107.54,106.9,123.88,115.39,98.41,89.92
128,108.98,106.92,123.9,115.41,98.43,89.94
129,107.54,106.94,123.92,115.43,98.45,89.96
130,104.64,106.96,123.94,115.45,98.47,89.98
131,104.64,106.98,123.96,115.47,98.49,90.0
132,107.54,107.0,123.98,115.49,98.51,90.02
133,108.98,107.02,124.0,115.51,98.53,90.04
134,108.98,107.05,124.03,115.54,98.56,90.07
135,107.54,107.07,124.05,115.56,98.58,90.09
136,107.54,107.09,124.07,115.58,98.6,90.11
137,108.02,107.11,124.09,115.6,98.62,90.13
138,108.02,107.13,124.11,115.62,98.64,90.15
139,107.54,107.15,124.13,115.64,98.66,90.17
140,112.84,107.17,124.15,115.66,98.68,90.19
141,112.36,107.19,124.17,115.68,98.7,90.21
142,110.91,107.21,124.19,115.7,98.72,90.23
143,111.39,107.23,124.21,115.72,98.74,90.25
144,109.95,107.25,124.23,115.74,98.76,90.27
145,110.91,107.27,124.25,115.76,98.78,90.29
146,112.36,107.3,124.28,115.79,98.81,90.32
147,111.88,107.32,124.3,115.81,98.83,90.34
148,115.25,107.34,124.32,115.83,98.85,90.36
149,115.25,107.36,124.34,115.85,98.87,90.38
150,112.36,107.38,124.36,115.87,98.89,90.4
151,110.43,107.4,124.38,115.89,98.91,90.42
152,108.5,107.42,124.4,115.91,98.93,90.44
153,110.5,107.44,124.42,115.93,98.95,90.46
154,110.5,107.46,124.44,115.95,98.97,90.48
155,110.0,107.48,124.46,115.97,98.99,90.5
156,111.5,107.5,124.48,115.99,99.01,90.52
157,110.5,107.52,124.5,116.01,99.03,90.54
