,high,low,close,min,max,rsv,k,d,j,j2
76,125.38,123.93,124.9,119.11,129.72,54.57,54.56,61.27,74.69,41.14
77,122.0,118.63,119.59,118.63,129.72,8.66,39.26,53.93,83.27,9.92
78,121.04,116.22,117.18,116.22,129.72,7.11,28.54,45.47,79.33,-5.32
79,120.07,118.14,119.11,116.22,129.72,21.41,26.16,39.03,64.77,0.42
80,118.63,117.18,118.14,116.22,127.31,17.31,23.21,33.76,54.86,2.11
81,118.63,115.73,115.73,115.73,125.38,0.0,15.47,27.66,52.04,-8.91
82,117.66,114.77,116.22,114.77,125.38,13.67,14.87,23.4,40.46,-2.19
83,118.63,116.7,118.14,114.77,125.38,31.76,20.5,22.43,26.29,16.64
84,119.11,114.77,117.18,114.77,125.38,22.71,21.24,22.03,23.61,19.66
85,116.7,115.25,116.7,114.77,122.0,26.69,23.06,22.37,20.99,24.44
86,119.59,117.66,119.11,114.77,121.04,69.22,38.45,27.73,6.29,59.89
87,119.11,117.18,117.18,114.77,120.07,45.47,40.79,32.08,14.66,58.21
88,117.66,116.7,117.66,114.77,119.59,59.96,47.18,37.11,16.97,67.32
89,117.18,115.73,115.73,114.77,119.59,19.92,38.09,37.44,36.14,39.39
90,117.66,113.32,113.32,113.32,119.59,0.0,25.39,33.42,49.48,9.33
91,114.77,112.84,114.77,112.84,119.59,28.59,26.46,31.1,40.38,17.18
92,115.73,113.32,113.32,112.84,119.59,7.11,20.01,27.4,42.18,5.23
93,116.22,113.8,114.29,112.84,119.59,21.48,20.5,25.1,34.3,11.3
94,114.29,112.84,112.84,112.84,119.59,0.0,13.67,21.29,36.53,-1.57
95,114.29,111.88,111.88,111.88,119.11,0.0,9.11,17.23,33.47,-7.13
96,110.91,108.02,108.5,108.02,117.66,4.98,7.73,14.06,26.72,-4.93
97,108.02,103.68,104.64,103.68,117.66,6.87,7.44,11.85,20.67,-1.38
98,109.46,106.09,106.09,103.68,117.66,17.24,10.71,11.47,12.99,9.19
99,108.98,106.57,108.5,103.68,116.22,38.44,19.95,14.3,3.0,31.25
100,113.32,109.95,113.32,103.68,116.22,76.87,38.92,22.51,-10.31,71.74
101,112.36,108.98,108.98,103.68,116.22,42.26,40.03,28.35,4.99,63.39
102,106.09,102.23,103.2,102.23,114.29,8.04,29.37,28.69,27.33,30.73
103,102.71,93.07,98.37,93.07,114.29,24.98,27.91,28.43,29.47,26.87
104,101.27,94.71,99.34,93.07,113.32,30.96,28.93,28.6,27.94,29.59
105,102.23,99.82,100.78,93.07,113.32,38.07,31.98,29.73,25.23,36.48
106,98.37,93.65,94.71,93.07,113.32,8.1,24.02,27.83,35.45,16.4
107,103.68,97.41,103.2,93.07,113.32,50.02,32.69,29.45,22.97,39.17
108,102.71,100.3,101.27,93.07,113.32,40.49,35.29,31.4,23.62,43.07
109,102.71,100.78,102.23,93.07,112.36,47.49,39.36,34.05,23.43,49.98
110,106.09,104.16,105.61,93.07,106.09,96.31,58.34,42.15,9.77,90.72
111,106.09,104.16,105.61,93.07,106.09,96.31,71.0,51.77,13.31,109.46
112,108.98,106.57,108.02,93.65,108.98,93.74,78.58,60.71,24.97,114.32
113,109.46,106.57,107.54,93.65,109.46,87.86,81.67,67.7,39.76,109.61
114,106.57,103.68,105.61,93.65,109.46,75.65,79.66,71.69,55.75,95.6
115,107.54,106.09,107.05,97.41,109.46,80.0,79.77,74.38,63.6,90.55
116,109.46,107.54,109.46,100.3,109.46,100.0,86.51,78.42,62.24,102.69
117,110.91,109.46,110.43,100.78,110.91,95.26,89.43,82.09,67.41,104.11
118,111.39,107.05,108.02,103.68,111.39,56.29,78.38,80.85,85.79,73.44
119,108.98,106.57,107.05,103.68,111.39,43.71,66.82,76.17,94.87,48.12
120,108.5,105.12,108.02,103.68,111.39,56.29,63.31,71.88,89.02,46.17
121,108.5,105.12,106.57,103.68,111.39,37.48,54.7,66.15,89.05,31.8
122,107.54,106.09,106.57,103.68,111.39,37.48,48.96,60.42,83.34,26.04
123,107.05,105.61,105.61,105.12,111.39,7.81,35.24,52.03,85.61,1.66
124,107.54,105.61,106.57,105.12,111.39,23.13,31.2,45.09,72.87,3.42
125,110.43,107.54,109.46,105.12,111.39,69.22,43.87,44.68,46.3,42.25
126,110.43,108.02,108.98,105.12,111.39,61.56,49.77,46.38,39.6,56.55
127,108.98,107.54,107.54,105.12,110.43,45.57,48.37,47.04,44.38,51.03
128,108.98,106.09,108.98,105.12,110.43,72.69,56.48,50.19,37.61,69.06
129,108.98,107.54,107.54,105.12,110.43,45.57,52.84,51.07,47.53,56.38
130,106.57,104.64,104.64,104.64,110.43,0.0,35.23,45.79,66.91,14.11
131,106.09,104.64,104.64,104.64,110.43,0.0,23.49,38.36,68.1,-6.25
132,108.02,104.64,107.54,104.64,110.43,50.09,32.36,36.36,44.36,24.36
133,109.95,107.05,108.98,104.64,110.43,74.96,46.56,39.76,26.16,60.16
134,110.91,108.98,108.98,104.64,110.91,69.22,54.11,44.54,25.4,73.25
135,109.46,107.05,107.54,104.64,110.91,46.25,51.49,46.86,37.6,60.75
136,108.5,107.54,107.54,104.64,110.91,46.25,49.74,47.82,43.98,53.58
137,109.46,108.02,108.02,104.64,110.91,53.91,51.13,48.92,44.5,55.55
138,108.5,107.54,108.02,104.64,110.91,53.91,52.06,49.97,45.79,56.24
139,108.5,107.54,107.54,104.64,110.91,46.25,50.12,50.02,49.82,50.32
140,112.84,108.02,112.84,104.64,112.84,100.0,66.75,55.6,33.3,89.05
141,113.32,111.39,112.36,107.05,113.32,84.69,72.73,61.31,38.47,95.57
142,112.84,110.91,110.91,107.05,113.32,61.56,69.01,63.88,53.62,79.27
143,112.36,110.91,111.39,107.05,113.32,69.22,69.08,65.61,58.67,76.02
144,110.91,108.98,109.95,107.54,113.32,41.7,59.95,63.72,71.26,52.41
145,111.88,110.43,110.91,107.54,113.32,58.3,59.4,62.28,68.04,53.64
146,112.84,111.39,112.36,107.54,113.32,83.39,67.4,63.99,57.17,74.22
147,113.32,111.88,111.88,107.54,113.32,75.09,69.96,65.98,58.02,77.92
148,115.73,112.36,115.25,108.02,115.73,93.77,77.9,69.95,54.05,93.8
149,115.25,113.8,115.25,108.98,115.73,92.89,82.9,74.27,57.01,100.16
150,114.77,111.88,112.36,108.98,115.73,50.07,71.96,73.5,76.58,68.88
151,111.88,110.43,110.43,108.98,115.73,21.48,55.13,67.38,91.88,30.63
152,111.88,108.02,108.5,108.02,115.73,6.23,38.83,57.86,95.92,0.77
153,112.5,108.5,110.5,108.02,115.73,32.17,36.61,50.78,79.12,8.27
154,112.0,110.0,110.5,108.02,115.73,32.17,35.13,45.56,66.42,14.27
155,111.0,108.5,110.0,108.02,115.73,25.68,31.98,41.03,59.13,13.88
156,112.0,110.0,111.5,108.02,115.73,45.14,36.37,39.48,45.7,30.15
157,111.0,109.0,110.5,108.02,115.25,34.3,35.68,38.21,43.27,30.62
158,111.5,110.0,111.0,108.02,114.77,44.15,38.5,38.31,37.93,38.88
159,111.5,109.5,110.0,108.02,112.5,44.2,40.4,39.01,36.23,43.18
160,113.0,110.0,113.0,108.02,113.0,100.0,60.27,46.1,17.76,88.61
161,113.0,110.5,111.5,108.5,113.0,66.67,62.4,51.53,29.79,84.14
162,112.5,111.0,112.0,108.5,113.0,77.78,67.53,56.86,35.52,88.87
163,112.0,111.0,112.0,108.5,113.0,77.78,70.95,61.56,42.78,89.73
164,113.0,111.0,112.5,109.0,113.0,87.5,76.47,66.53,46.65,96.35
165,112.5,111.0,112.0,109.0,113.0,75.0,75.98,69.68,57.08,88.58
166,112.0,108.5,108.5,108.5,113.0,0.0,50.65,63.34,88.72,25.27
167,109.0,106.0,109.0,106.0,113.0,42.86,48.05,58.24,78.62,27.67
168,109.5,108.0,109.0,106.0,113.0,42.86,46.32,54.27,70.17,30.42
169,110.0,108.0,109.0,106.0,113.0,42.86,45.17,51.24,63.38,33.03
170,109.0,106.5,107.5,106.0,113.0,21.43,37.26,46.58,65.22,18.62
171,107.5,107.5,107.5,106.0,113.0,21.43,31.98,41.71,61.17,12.52
172,107.5,104.5,107.0,104.5,113.0,29.41,31.12,38.18,52.3,17.0
173,106.0,102.5,103.0,102.5,112.5,5.0,22.41,32.92,53.94,1.39
174,106.0,102.0,104.5,102.0,112.0,25.0,23.27,29.7,42.56,10.41
175,108.0,105.5,107.5,102.0,110.0,68.75,38.43,32.61,20.97,50.07
176,109.0,107.5,109.0,102.0,110.0,87.5,54.79,40.0,10.42,84.37
177,109.0,107.5,108.5,102.0,110.0,81.25,63.61,47.87,16.39,95.09
178,109.0,107.0,107.5,102.0,109.0,78.57,68.6,54.78,27.14,96.24
179,108.5,106.5,108.0,102.0,109.0,85.71,74.3,61.29,35.27,100.32
180,109.0,107.5,109.0,102.0,109.0,100.0,82.87,68.48,39.7,111.65
181,111.0,108.0,111.0,102.0,111.0,100.0,88.58,75.18,48.38,115.38
182,112.0,110.0,111.0,102.0,112.0,90.0,89.05,79.8,61.3,107.55
183,113.0,110.5,111.5,105.5,113.0,80.0,86.03,81.88,73.58,94.33
184,113.0,111.5,112.5,106.5,113.0,92.31,88.12,83.96,75.64,96.44
185,113.0,110.5,111.0,106.5,113.0,69.23,81.82,83.25,86.11,78.96
186,110.0,108.0,108.5,106.5,113.0,30.77,64.8,77.1,101.7,40.2
187,109.5,107.0,107.5,106.5,113.0,15.38,48.33,67.51,105.87,9.97
188,107.5,106.0,107.0,106.0,113.0,14.29,36.98,57.33,98.03,-3.72
189,108.5,107.0,108.0,106.0,113.0,28.57,34.18,49.61,80.47,3.32
190,108.0,106.5,106.5,106.0,113.0,7.14,25.17,41.46,74.04,-7.41
191,108.0,106.5,107.5,106.0,113.0,21.43,23.92,35.61,58.99,0.54
192,110.5,107.5,108.5,106.0,113.0,35.71,27.85,33.02,43.36,17.51
193,109.5,107.5,107.5,106.0,113.0,21.43,25.71,30.58,40.32,15.97
194,109.5,107.0,108.5,106.0,110.5,55.56,35.66,32.27,25.49,42.44
195,107.5,106.0,107.0,106.0,110.5,22.22,31.18,31.91,33.37,29.72
196,108.0,106.0,106.5,106.0,110.5,11.11,24.49,29.44,39.34,14.59
197,108.0,107.0,107.5,106.0,110.5,33.33,27.44,28.77,31.43,24.78
198,108.5,107.0,107.5,106.0,110.5,33.33,29.4,28.98,28.14,30.24
199,107.5,106.0,106.5,106.0,110.5,11.11,23.3,27.09,34.67,15.72
200,105.5,104.5,105.0,104.5,110.5,8.33,18.31,24.16,35.86,6.61
201,106.0,104.0,105.0,104.0,109.5,18.18,18.27,22.2,30.06,10.41
202,105.0,103.0,103.0,103.0,109.5,0.0,12.18,18.86,32.22,-1.18
203,105.0,102.5,103.0,102.5,108.5,8.33,10.9,16.21,26.83,0.28
