,close,mtm,sma_mtm
221,107.0,1.5,2.83
222,106.5,0.0,2.92
223,107.5,-2.0,2.5
224,107.5,0.0,2.29
225,108.0,1.0,2.21
226,109.0,1.5,1.96
227,107.5,-0.5,1.5
228,108.0,0.5,1.04
229,109.0,1.0,0.71
230,107.5,-1.5,0.42
231,109.0,1.0,0.5
232,108.0,-0.5,0.17
233,108.0,1.0,0.12
234,107.0,0.5,0.17
235,107.0,-0.5,0.29
236,106.5,-1.0,0.21
237,106.5,-1.5,0.0
238,106.0,-3.0,-0.38
239,105.5,-2.0,-0.5
240,105.0,-3.0,-0.79
241,103.5,-5.5,-1.33
242,103.5,-4.0,-1.54
243,103.5,-5.5,-2.08
244,105.5,-2.5,-2.25
245,105.0,-3.0,-2.58
246,105.0,-2.0,-2.79
247,106.5,-0.5,-2.79
248,106.0,-0.5,-2.75
249,105.0,-1.5,-2.75
250,106.0,0.0,-2.5
251,105.0,-0.5,-2.38
252,104.5,-0.5,-2.17
253,104.5,1.0,-1.62
254,105.0,1.5,-1.17
255,103.5,0.0,-0.71
256,103.5,-2.0,-0.67
257,103.0,-2.0,-0.58
258,104.5,-0.5,-0.46
259,103.5,-3.0,-0.67
260,104.0,-2.0,-0.79
261,104.0,-1.0,-0.75
262,104.5,-1.5,-0.88
263,105.5,0.5,-0.79
264,105.0,0.5,-0.71
265,104.0,-0.5,-0.83
