,close,dif,up,dn,ema-up,ema-dn,rs,rsi
0,79.95,,0.0,0.0,,,,
1,79.76,-0.18999999999999773,0.0,0.18999999999999773,,,,
2,79.08,-0.6800000000000068,0.0,0.6800000000000068,,,,
3,79.95,0.8700000000000045,0.8700000000000045,0.0,,,,
4,84.77,4.819999999999993,4.819999999999993,0.0,,,,
5,84.49,-0.28000000000000114,0.0,0.28000000000000114,,,,
6,85.84,1.3500000000000085,1.3500000000000085,0.0,,,,
7,84.58,-1.2600000000000051,0.0,1.2600000000000051,,,,
8,84.49,-0.09000000000000341,0.0,0.09000000000000341,,,,
9,84.58,0.09000000000000341,0.09000000000000341,0.0,,,,
10,84.0,-0.5799999999999983,0.0,0.5799999999999983,,,,
11,85.06,1.0600000000000023,1.0600000000000023,0.0,0.6108256777673373,0.26330138301608413,2.3198726522831223,69.88
12,84.68,-0.37999999999999545,0.0,0.37999999999999545,0.5047631351552115,0.28356469624461994,1.7800633923758002,64.03
13,84.58,-0.10000000000000853,0.0,0.10000000000000853,0.41881808942069365,0.252309489365982,1.659937921768714,62.41
14,84.87,0.29000000000000625,0.29000000000000625,0.0,0.39723885415399707,0.21004333050945864,1.8912233642006009,65.41
15,84.58,-0.29000000000000625,0.0,0.29000000000000625,0.3315920014534966,0.22325680056552155,1.4852492762305836,59.76
16,85.64,1.0600000000000023,1.0600000000000023,0.0,0.450608976714708,0.18677813865787443,2.412535963537458,70.7
17,86.41,0.769999999999996,0.769999999999996,0.0,0.5023018068178102,0.1565484518955417,3.2086028366027883,76.24
18,88.54,2.1300000000000097,2.1300000000000097,0.0,0.7636503688979208,0.13141251885209485,5.8110930036841575,85.32
19,88.54,0.0,0.0,0.0,0.641854280062684,0.11045327955614488,5.811093003684158,85.32
20,87.19,-1.3500000000000085,0.0,1.3500000000000085,0.5400584063875096,0.30704111154264724,1.7589123608696187,63.75
21,88.34,1.1500000000000057,1.1500000000000057,0.0,0.6363356830346553,0.25857568083975424,2.4609262594536423,71.11
22,88.73,0.39000000000000057,0.39000000000000057,0.0,0.5976073398694588,0.21792299269336202,2.7422867705857366,73.28
23,96.35,7.61999999999999,7.61999999999999,0.0,1.6979422605898031,0.1837767564326381,9.239156754908612,90.23
24,100.3,3.950000000000003,3.950000000000003,0.0,2.049815490213771,0.15506251892258854,13.219284095578862,92.97
25,101.27,0.9699999999999989,0.9699999999999989,0.0,1.8815032845605033,0.13089272805503427,14.374391247842425,93.5
26,103.2,1.9300000000000068,1.9300000000000068,0.0,1.8890472515434078,0.11053154668840624,17.090571046370346,94.47
27,104.16,0.9599999999999937,0.9599999999999937,0.0,1.7447748680374486,0.093367027158485,18.68727024022942,94.92
28,103.68,-0.47999999999998977,0.0,0.47999999999998977,1.4742184117651247,0.15332092088214566,9.615246264391558,90.58
29,100.3,-3.3800000000000097,0.0,3.3800000000000097,1.2458949246059592,0.6530614026236614,1.9077760829235975,65.61
30,102.71,2.4099999999999966,2.4099999999999966,0.0,1.42600300488599,0.5520210085752821,2.5832404613845745,72.09
31,111.88,9.170000000000002,9.170000000000002,0.0,2.623095452099383,0.46668779105395214,5.620664397873944,84.9
32,111.39,-0.4899999999999949,0.0,0.4899999999999949,2.2179074305122066,0.4702888143465334,4.716053971204887,82.51
33,109.95,-1.4399999999999977,0.0,1.4399999999999977,1.8755219616064978,0.6199862338309869,3.0251025898065014,75.16
34,110.91,0.9599999999999937,0.9599999999999937,0.0,1.734264355458633,0.5243273912163114,3.30759823826019,76.79
35,110.43,-0.47999999999998977,0.0,0.47999999999998977,1.4668006607821162,0.5174910817501267,2.8344462590958597,73.92
36,112.84,2.4099999999999966,2.4099999999999966,0.0,1.6122090076750946,0.4377120577406934,3.683263869852517,78.65
37,117.18,4.340000000000003,4.340000000000003,0.0,2.0326049151808783,0.3702536790533702,5.489762911681665,84.59
38,118.63,1.4499999999999886,1.4499999999999886,0.0,1.9428404581202123,0.3132070946375475,6.203053798537114,86.12
39,117.66,-0.9699999999999989,0.0,0.9699999999999989,1.643566917148711,0.4143789318057741,3.9663380326465933,79.86
40,118.63,0.9699999999999989,0.9699999999999989,0.0,1.5398312482061596,0.3505606613530979,4.392481581540559,81.46
41,114.29,-4.339999999999989,0.0,4.339999999999989,1.3027214066144397,0.964871697532105,1.3501498799752008,57.45
42,107.54,-6.75,0.0,6.75,1.102150467448354,1.855567598383073,0.5939694508616982,37.26
43,108.98,1.4399999999999977,1.4399999999999977,0.0,1.154160727317261,1.5699121698633518,0.7351753489609049,42.37
44,112.36,3.3799999999999955,3.3799999999999955,0.0,1.4967837628791274,1.3282558742783617,1.126879083965901,52.98
45,112.36,0.0,0.0,0.0,1.266403384444977,1.1238147929661082,1.126879083965901,52.98
46,109.95,-2.4099999999999966,0.0,2.4099999999999966,1.071496246136445,1.321766473383963,0.8106547319158576,44.77
47,109.46,-0.4900000000000091,0.0,0.4900000000000091,0.9065963712489152,1.1937602504119134,0.7594459364316154,43.16
48,109.95,0.4900000000000091,0.4900000000000091,0.0,0.8424867593994076,1.0100536423446216,0.8341010062037462,45.48
49,108.98,-0.9699999999999989,0.0,0.9699999999999989,0.7128428471956919,1.0038900904150136,0.7100805695780887,41.52
50,106.09,-2.8900000000000006,0.0,2.8900000000000006,0.6031528350571018,1.2941187427624181,0.4660722506573202,31.79
51,107.05,0.9599999999999937,0.9599999999999937,0.0,0.6580616673531101,1.0949899391782996,0.6009750809646083,37.54
52,107.54,0.4900000000000091,0.4900000000000091,0.0,0.6322023327738857,0.9265058842236119,0.6823511253829273,40.56
