,close,volume,dif,obv,obv-ma
124,106.57,18992629,1.0,9496314.0,19580095.0
125,109.46,36017587,1.0,18008794.0,19384814.0
126,108.98,23544247,-1.0,11772124.0,17551361.0
127,107.54,23871999,-1.0,11936000.0,16107268.0
128,108.98,18109232,1.0,9054616.0,15376467.0
129,107.54,29445549,-1.0,14722774.0,15044299.0
130,104.64,34818980,-1.0,17409490.0,14568033.0
131,104.64,21910960,0.0,10955480.0,14339241.0
132,107.54,27710302,1.0,13855151.0,13763816.0
133,108.98,31065987,1.0,15532994.0,13923193.0
134,108.98,35574740,0.0,17787370.0,13283220.0
135,107.54,23702001,-1.0,11851000.0,13203609.0
136,107.54,17706887,0.0,8853444.0,12791323.0
137,108.02,31076380,1.0,15538190.0,13011637.0
138,108.02,15859329,0.0,7929664.0,12584187.0
139,107.54,16486732,-1.0,8243366.0,12397410.0
140,112.84,80145148,1.0,40072574.0,13680818.0
141,112.36,43748805,-1.0,21874402.0,14266798.0
142,110.91,27901240,-1.0,13950620.0,14509242.0
143,111.39,23792227,1.0,11896114.0,14537024.0
144,109.95,28407636,-1.0,14203818.0,14772399.0
145,110.91,17024161,1.0,8512080.0,14297564.0
146,112.36,36478720,1.0,18239360.0,14620925.0
147,111.88,27098250,-1.0,13549125.0,14701582.0
148,115.25,62649339,1.0,31324670.0,15815084.0
149,115.25,33640925,0.0,16820462.0,15919969.0
150,112.36,31735324,-1.0,15867662.0,15842877.0
151,110.43,26267081,-1.0,13133540.0,15951780.0
152,108.5,62986162,-1.0,31493081.0,16833677.0
153,110.5,59259611,1.0,29629806.0,17538517.0
154,110.5,21521533,0.0,10760766.0,17187187.0
155,110.0,33363024,-1.0,16681512.0,17428713.0
156,111.5,27586534,1.0,13793267.0,17675704.0
157,110.5,32678903,-1.0,16339452.0,17715767.0
158,111.0,20815906,1.0,10407953.0,17839682.0
159,110.0,28280514,-1.0,14140257.0,18134526.0
160,113.0,24048289,1.0,12024144.0,16732105.0
