,close,sma,std,up,dn
147,111.88,111.3,0.93,113.15,109.44
148,115.25,112.07,2.0,116.08,108.06
149,115.25,113.13,2.0,117.14,109.12
150,112.36,113.42,1.68,116.78,110.06
151,110.43,113.03,2.14,117.32,108.75
152,108.5,112.36,2.97,118.3,106.41
153,110.5,111.41,2.54,116.5,106.32
154,110.5,110.46,1.37,113.19,107.73
155,110.0,109.99,0.86,111.7,108.27
156,111.5,110.2,1.1,112.39,108.01
157,110.5,110.6,0.55,111.7,109.5
158,111.0,110.7,0.57,111.84,109.56
159,110.0,110.6,0.65,111.9,109.3
160,113.0,111.2,1.15,113.5,108.9
161,111.5,111.2,1.15,113.5,108.9
162,112.0,111.5,1.12,113.74,109.26
163,112.0,111.7,1.1,113.89,109.51
164,112.5,112.2,0.57,113.34,111.06
165,112.0,112.0,0.35,112.71,111.29
166,108.5,111.4,1.64,114.67,108.13
167,109.0,110.8,1.89,114.58,107.02
168,109.0,110.2,1.89,113.98,106.42
169,109.0,109.5,1.41,112.33,106.67
170,107.5,108.6,0.65,109.9,107.3
171,107.5,108.4,0.82,110.04,106.76
172,107.0,108.0,0.94,109.87,106.13
173,103.0,106.8,2.25,111.31,102.29
174,104.5,105.9,2.04,109.99,101.81
175,107.5,105.9,2.04,109.99,101.81
176,109.0,106.2,2.41,111.03,101.37
177,108.5,106.5,2.62,111.74,101.26
178,107.5,107.4,1.75,110.89,103.91
179,108.0,108.1,0.65,109.4,106.8
180,109.0,108.4,0.65,109.7,107.1
181,111.0,108.8,1.35,111.5,106.1
182,111.0,109.3,1.64,112.59,106.01
183,111.5,110.1,1.52,113.13,107.07
184,112.5,111.0,1.27,113.55,108.45
185,111.0,111.4,0.65,112.7,110.1
186,108.5,110.9,1.47,113.85,107.95
187,107.5,110.2,2.11,114.42,105.98
188,107.0,109.3,2.36,114.02,104.58
189,108.0,108.4,1.56,111.51,105.29
190,106.5,107.5,0.79,109.08,105.92
191,107.5,107.3,0.57,108.44,106.16
192,108.5,107.5,0.79,109.08,105.92
193,107.5,107.6,0.74,109.08,106.12
