,close,high-low,high-close,low-close,tr,atr
163,112.0,1.0,0.0,1.0,1.0,2.28
164,112.5,2.0,1.0,1.0,2.0,2.26
165,112.0,1.5,0.0,1.5,1.5,2.21
166,108.5,3.5,0.0,3.5,3.5,2.3
167,109.0,3.0,0.5,2.5,3.0,2.35
168,109.0,1.5,0.5,1.0,1.5,2.29
169,109.0,2.0,1.0,1.0,2.0,2.27
170,107.5,2.5,0.0,2.5,2.5,2.29
171,107.5,0.0,0.0,0.0,0.0,2.13
172,107.0,3.0,0.0,3.0,3.0,2.19
173,103.0,3.5,1.0,4.5,4.5,2.36
174,104.5,4.0,3.0,1.0,4.0,2.48
175,107.5,2.5,3.5,1.0,3.5,2.55
176,109.0,1.5,1.5,0.0,1.5,2.48
177,108.5,1.5,0.0,1.5,1.5,2.41
178,107.5,2.0,0.5,1.5,2.0,2.38
179,108.0,2.0,1.0,1.0,2.0,2.35
180,109.0,1.5,1.0,0.5,1.5,2.29
181,111.0,3.0,2.0,1.0,3.0,2.34
182,111.0,2.0,1.0,1.0,2.0,2.32
183,111.5,2.5,2.0,0.5,2.5,2.33
184,112.5,1.5,1.5,0.0,1.5,2.27
185,111.0,2.5,0.5,2.0,2.5,2.29
186,108.5,2.0,1.0,3.0,3.0,2.34
187,107.5,2.5,1.0,1.5,2.5,2.35
188,107.0,1.5,0.0,1.5,1.5,2.29
189,108.0,1.5,1.5,0.0,1.5,2.23
190,106.5,1.5,0.0,1.5,1.5,2.18
191,107.5,1.5,1.5,0.0,1.5,2.13
192,108.5,3.0,3.0,0.0,3.0,2.19
193,107.5,2.0,1.0,1.0,2.0,2.18
194,108.5,2.5,2.0,0.5,2.5,2.2
195,107.0,1.5,1.0,2.5,2.5,2.22
196,106.5,2.0,1.0,1.0,2.0,2.2
197,107.5,1.0,1.5,0.5,1.5,2.15
198,107.5,1.5,1.0,0.5,1.5,2.1
199,106.5,1.5,0.0,1.5,1.5,2.06
200,105.0,1.0,1.0,2.0,2.0,2.06
201,105.0,2.0,1.0,1.0,2.0,2.06
202,103.0,2.0,0.0,2.0,2.0,2.06
203,103.0,2.5,2.0,0.5,2.5,2.09
204,101.5,1.5,0.5,2.0,2.0,2.08
205,103.0,1.5,3.0,1.5,3.0,2.15
206,107.0,3.0,4.0,1.0,4.0,2.28
207,108.0,1.5,1.0,0.5,1.5,2.22
208,105.0,2.5,1.0,3.5,3.5,2.31
209,105.5,2.0,1.5,0.5,2.0,2.29
210,106.5,1.0,2.0,1.0,2.0,2.27
211,109.5,2.5,3.5,1.0,3.5,2.36
212,107.5,4.0,1.5,2.5,4.0,2.48
213,107.0,2.5,1.5,1.0,2.5,2.48
214,107.5,2.0,1.5,0.5,2.0,2.45
215,108.0,1.5,1.0,0.5,1.5,2.38
216,107.5,1.5,0.5,1.0,1.5,2.32
217,108.0,2.0,1.5,0.5,2.0,2.3
218,109.0,1.5,1.5,0.0,1.5,2.24
219,108.0,1.5,0.0,1.5,1.5,2.19
220,108.5,1.5,1.0,0.5,1.5,2.14
221,107.0,1.5,0.0,1.5,1.5,2.09
