,high,low,close,up,dn,md
129,108.98,107.54,107.54,111.39,103.68,107.54
130,106.57,104.64,104.64,111.39,103.68,107.54
131,106.09,104.64,104.64,111.39,103.68,107.54
132,108.02,104.64,107.54,111.39,103.68,107.54
133,109.95,107.05,108.98,111.39,103.68,107.54
134,110.91,108.98,108.98,111.39,104.64,108.02
135,109.46,107.05,107.54,111.39,104.64,108.02
136,108.5,107.54,107.54,111.39,104.64,108.02
137,109.46,108.02,108.02,111.39,104.64,108.02
138,108.5,107.54,108.02,110.91,104.64,107.78
139,108.5,107.54,107.54,110.91,104.64,107.78
140,112.84,108.02,112.84,112.84,104.64,108.74
141,113.32,111.39,112.36,113.32,104.64,108.98
142,112.84,110.91,110.91,113.32,104.64,108.98
143,112.36,110.91,111.39,113.32,104.64,108.98
144,110.91,108.98,109.95,113.32,104.64,108.98
145,111.88,110.43,110.91,113.32,104.64,108.98
146,112.84,111.39,112.36,113.32,104.64,108.98
147,113.32,111.88,111.88,113.32,104.64,108.98
148,115.73,112.36,115.25,115.73,104.64,110.18
149,115.25,113.8,115.25,115.73,104.64,110.18
150,114.77,111.88,112.36,115.73,104.64,110.18
151,111.88,110.43,110.43,115.73,104.64,110.18
152,111.88,108.02,108.5,115.73,107.05,111.39
153,112.5,108.5,110.5,115.73,107.05,111.39
154,112.0,110.0,110.5,115.73,107.05,111.39
155,111.0,108.5,110.0,115.73,107.54,111.64
156,112.0,110.0,111.5,115.73,107.54,111.64
157,111.0,109.0,110.5,115.73,107.54,111.64
158,111.5,110.0,111.0,115.73,107.54,111.64
159,111.5,109.5,110.0,115.73,108.02,111.88
160,113.0,110.0,113.0,115.73,108.02,111.88
161,113.0,110.5,111.5,115.73,108.02,111.88
162,112.5,111.0,112.0,115.73,108.02,111.88
163,112.0,111.0,112.0,115.73,108.02,111.88
164,113.0,111.0,112.5,115.73,108.02,111.88
165,112.5,111.0,112.0,115.73,108.02,111.88
166,112.0,108.5,108.5,115.73,108.02,111.88
167,109.0,106.0,109.0,115.73,106.0,110.86
168,109.5,108.0,109.0,115.25,106.0,110.62
169,110.0,108.0,109.0,114.77,106.0,110.38
170,109.0,106.5,107.5,113.0,106.0,109.5
171,107.5,107.5,107.5,113.0,106.0,109.5
172,107.5,104.5,107.0,113.0,104.5,108.75
173,106.0,102.5,103.0,113.0,102.5,107.75
174,106.0,102.0,104.5,113.0,102.0,107.5
175,108.0,105.5,107.5,113.0,102.0,107.5
176,109.0,107.5,109.0,113.0,102.0,107.5
177,109.0,107.5,108.5,113.0,102.0,107.5
178,109.0,107.0,107.5,113.0,102.0,107.5
179,108.5,106.5,108.0,113.0,102.0,107.5
180,109.0,107.5,109.0,113.0,102.0,107.5
181,111.0,108.0,111.0,113.0,102.0,107.5
182,112.0,110.0,111.0,113.0,102.0,107.5
183,113.0,110.5,111.5,113.0,102.0,107.5
184,113.0,111.5,112.5,113.0,102.0,107.5
185,113.0,110.5,111.0,113.0,102.0,107.5
186,110.0,108.0,108.5,113.0,102.0,107.5
187,109.5,107.0,107.5,113.0,102.0,107.5
188,107.5,106.0,107.0,113.0,102.0,107.5
189,108.5,107.0,108.0,113.0,102.0,107.5
190,108.0,106.5,106.5,113.0,102.0,107.5
191,108.0,106.5,107.5,113.0,102.0,107.5
192,110.5,107.5,108.5,113.0,102.0,107.5
193,109.5,107.5,107.5,113.0,102.0,107.5
194,109.5,107.0,108.5,113.0,105.5,109.25
195,107.5,106.0,107.0,113.0,106.0,109.5
196,108.0,106.0,106.5,113.0,106.0,109.5
197,108.0,107.0,107.5,113.0,106.0,109.5
198,108.5,107.0,107.5,113.0,106.0,109.5
199,107.5,106.0,106.5,113.0,106.0,109.5
200,105.5,104.5,105.0,113.0,104.5,108.75
201,106.0,104.0,105.0,113.0,104.0,108.5
202,105.0,103.0,103.0,113.0,103.0,108.0
203,105.0,102.5,103.0,113.0,102.5,107.75
204,102.5,101.0,101.5,113.0,101.0,107.0
205,104.5,103.0,103.0,110.5,101.0,105.75
206,107.0,104.0,107.0,110.5,101.0,105.75
207,108.0,106.5,108.0,110.5,101.0,105.75
208,107.0,104.5,105.0,110.5,101.0,105.75
209,106.5,104.5,105.5,110.5,101.0,105.75
210,107.5,106.5,106.5,110.5,101.0,105.75
211,110.0,107.5,109.5,110.5,101.0,105.75
212,111.0,107.0,107.5,111.0,101.0,106.0
213,109.0,106.5,107.0,111.0,101.0,106.0
214,108.5,106.5,107.5,111.0,101.0,106.0
215,108.5,107.0,108.0,111.0,101.0,106.0
216,108.5,107.0,107.5,111.0,101.0,106.0
217,109.0,107.0,108.0,111.0,101.0,106.0
218,109.5,108.0,109.0,111.0,101.0,106.0
219,109.0,107.5,108.0,111.0,101.0,106.0
220,109.0,107.5,108.5,111.0,101.0,106.0
221,108.5,107.0,107.0,111.0,101.0,106.0
222,108.0,106.5,106.5,111.0,101.0,106.0
223,108.5,107.0,107.5,111.0,101.0,106.0
224,108.5,107.5,107.5,111.0,103.0,107.0
225,108.5,107.5,108.0,111.0,104.0,107.5
226,109.0,107.5,109.0,111.0,104.5,107.75
227,108.0,107.0,107.5,111.0,104.5,107.75
228,108.0,107.0,108.0,111.0,104.5,107.75
229,109.5,107.5,109.0,111.0,106.5,108.75
230,109.0,107.5,107.5,111.0,106.5,108.75
231,109.5,108.0,109.0,111.0,106.5,108.75
232,110.0,108.0,108.0,110.0,106.5,108.25
233,109.0,108.0,108.0,110.0,106.5,108.25
